scope,factor_category,subtype_key,basis,region,unit,co2e_factor,notes
SCOPE_1,stationary_combustion_natural_gas,,STANDARD,UK,kWh,0.18296,"DESNZ 2025 full-set (advanced users), 2025-full-set.xlsx, sheet Fuels: Gaseous fuels > Natural gas, kWh (Gross CV)"
SCOPE_1,stationary_combustion_diesel,,STANDARD,UK,litres,2.57082,"DESNZ 2025 full-set (advanced users), 2025-full-set.xlsx, sheet Fuels: Liquid fuels > Diesel (average biofuel blend), litres"
SCOPE_1,mobile_combustion_fuel,petrol,STANDARD,UK,litres,2.06916,"DESNZ 2025 full-set (advanced users), 2025-full-set.xlsx, sheet Fuels: Liquid fuels > Petrol (average biofuel blend), litres"
SCOPE_1,mobile_combustion_fuel,diesel,STANDARD,UK,litres,2.57082,"DESNZ 2025 full-set (advanced users), 2025-full-set.xlsx, sheet Fuels: Liquid fuels > Diesel (average biofuel blend), litres (same as stationary diesel)"
SCOPE_1,mobile_combustion_mileage,car_petrol_avg,STANDARD,UK,miles,0.26187,"DESNZ 2025 full-set (advanced users), 2025-full-set.xlsx, sheet Passenger vehicles: Cars (by size) > Average car > Petrol, miles"
SCOPE_1,mobile_combustion_mileage,car_diesel_avg,STANDARD,UK,miles,0.27849,"DESNZ 2025 full-set (advanced users), 2025-full-set.xlsx, sheet Passenger vehicles: Cars (by size) > Average car > Diesel, miles"
SCOPE_1,mobile_combustion_mileage,car_hybrid_avg,STANDARD,UK,miles,0.20639,"DESNZ 2025 full-set (advanced users), 2025-full-set.xlsx, sheet Passenger vehicles: Cars (by size) > Average car > Hybrid, miles"
SCOPE_1,mobile_combustion_mileage,car_electric,STANDARD,UK,miles,0.0,"DESNZ 2025 full-set (advanced users), 2025-full-set.xlsx, sheet Passenger vehicles: Cars (by size) > Average car > Battery Electric Vehicle, miles -- Scope 1 tailpipe only, 0 kgCO2e/mile (see README)."
SCOPE_1,mobile_combustion_mileage,motorbike_avg,STANDARD,UK,miles,0.18293,"DESNZ 2025 full-set (advanced users), 2025-full-set.xlsx, sheet Passenger vehicles: Motorbike > Average, miles"
SCOPE_1,fugitive_refrigerant,r410a,STANDARD,UK,kg,1924.0,"DESNZ 2025 full-set (advanced users), 2025-full-set.xlsx, sheet Refrigerant & other: Blends > R410A, Total emissions incl. non-Kyoto products"
SCOPE_1,fugitive_refrigerant,r404a,STANDARD,UK,kg,3943.0,"DESNZ 2025 full-set (advanced users), 2025-full-set.xlsx, sheet Refrigerant & other: Blends > R404A, Total emissions incl. non-Kyoto products"
SCOPE_1,fugitive_refrigerant,r134a,STANDARD,UK,kg,1300.0,"DESNZ 2025 full-set (advanced users), 2025-full-set.xlsx, sheet Refrigerant & other: Kyoto protocol products > HFC-134a (=R134a), Total emissions incl. non-Kyoto products"
SCOPE_1,fugitive_refrigerant,r32,STANDARD,UK,kg,677.0,"DESNZ 2025 full-set (advanced users), 2025-full-set.xlsx, sheet Refrigerant & other: Kyoto protocol products > HFC-32 (=R32), Total emissions incl. non-Kyoto products"
SCOPE_2,grid_electricity,,LOCATION_BASED,UK,kWh,0.177,"DESNZ 2025 full-set (advanced users), 2025-full-set.xlsx, sheet UK electricity: Electricity generated > Electricity: UK, kWh"
SCOPE_2,grid_electricity,,RESIDUAL_MIX,UK,kWh,0.177,"Same as location-based (DESNZ 2025 full-set (advanced users), 2025-full-set.xlsx, sheet UK electricity) -- DESNZ publishes no separate UK residual-mix figure; reused as a stated simplification, see README #26."
SCOPE_2,grid_electricity,,MARKET_BASED,UK,kWh,0.0,Not a DESNZ figure -- zero-rated business-rule simplification for REGO/green-tariff-backed sites (see README #5).
SCOPE_2,purchased_heat_steam,,STANDARD,UK,kWh,0.17529,"DESNZ 2025 full-set (advanced users), 2025-full-set.xlsx, sheet Heat and steam: Heat and steam > District heat and steam, kWh"
SCOPE_3,business_travel,rail,STANDARD,UK,km,0.03546,"DESNZ 2025 full-set (advanced users), 2025-full-set.xlsx, sheet Business travel- land: Rail > National rail, passenger.km"
SCOPE_3,business_travel,flight_domestic,STANDARD,UK,km,0.22928,"DESNZ 2025 full-set (advanced users), 2025-full-set.xlsx, sheet Business travel- air: Flights > Domestic, to/from UK > Average passenger > With RF, passenger.km"
SCOPE_3,business_travel,flight_short_haul,STANDARD,UK,km,0.12786,"DESNZ 2025 full-set (advanced users), 2025-full-set.xlsx, sheet Business travel- air: Flights > Short-haul, to/from UK > Average passenger > With RF, passenger.km"
SCOPE_3,business_travel,flight_long_haul,STANDARD,UK,km,0.15282,"DESNZ 2025 full-set (advanced users), 2025-full-set.xlsx, sheet Business travel- air: Flights > Long-haul, to/from UK > Average passenger > With RF, passenger.km"
SCOPE_3,business_travel,hotel,STANDARD,UK,nights,10.4,"DESNZ 2025 full-set (advanced users), 2025-full-set.xlsx, sheet Hotel stay: Hotel stay > UK, Room per night -- used for every stay regardless of destination, see README #25"
SCOPE_3,employee_commuting,commute_car_petrol_avg,STANDARD,UK,miles,0.26187,"DESNZ 2025 full-set (advanced users), 2025-full-set.xlsx, sheet Business travel- land: Cars (by size) > Average car > Petrol, miles"
